movieId,Title,genres,,,,,,,,
138,Shiddat,"Romance,Drama",,,,,,,,
139,Rashmi Rocket,Drama,,,,,,,,
140,Sanak,"Action,Thriller",,,,,,,,
141,Sardar Udham,"Crime,Drama,History",,,,,,,,
142,Bhavai,"Romance,Drama",,,,,,,,
146,Dybbuk,"Horror,Thriller,Drama",,,,,,,,
147,Hum Do Hamare Do,"Comedy,Drama,Family",,,,,,,,
148,Meenakshi Sundareshwar,"Romance,Comedy",,,,,,,,
149,Sooryavanshi,"Action,Crime,Thriller",,,,,,,,
150,Bunty Aur Babli 2,"Comedy,Crime,Drama",,,,,,,,
151,Dhamaka,"Thriller,Drama,Crime",,,,,,,,
152,Cash,"Comedy,Drama",,,,,,,,
153,Satyameva Jayate 2,"Action,Crime,Drama,Thriller",,,,,,,,
154,Antim: The Final Truth,Action,,,,,,,,
155,Chhorii,"Horror,Thriller",,,,,,,,
156,Tadap,"Action,Romance",,,,,,,,
157,Bob Biswas,"Crime,Thriller",,,,,,,,
158,Chandigarh Kare Aashiqui,"Drama,Romance,Crime",,,,,,,,
159,Velle,"Comedy,Crime",,,,,,,,
160,Code Name Abdul,Thriller,,,,,,,,
161,420 IPC,"Crime,Drama",,,,,,,,
162,83,"Drama,History",,,,,,,,
163,Atrangi Re,"Comedy,Drama,Romance",,,,,,,,
165,Waah Zindagi,"Comedy,Drama,Romance",,,,,,,,
166,Ghost Stories,Horror,,,,,,,,
167,Bhangra Paa Le,Music,,,,,,,,
168,Sab Kushal Mangal,"Romance,Comedy",,,,,,,,
169,Shimla Mirchi,Romance,,,,,,,,
170,Chhapaak,Drama,,,,,,,,
172,Jai Mummy Di,"Comedy,Romance",,,,,,,,
173,Panga,Romance,,,,,,,,
174,Street Dancer 3D,Drama,,,,,,,,
175,Gul Makai,"War,Drama",,,,,,,,
177,Jawaani Jaaneman,Comedy,,,,,,,,
178,Operation Parindey,"Action,Thriller",,,,,,,,
179,Hacked,Thriller,,,,,,,,
180,Malang,"Romance,Action,Drama",,,,,,,,
181,Shikara,"Drama,Romance",,,,,,,,
183,Shukranu,"Comedy,Drama",,,,,,,,
185,The Hundred Bucks,Drama,,,,,,,,
186,Yeh Ballet,Drama,,,,,,,,
188,Guns of Banaras,"Action,Crime,Drama",,,,,,,,
189,Thappad,Drama,,,,,,,,
